"fecha","Chaco","San Fernando"
2020-09-12,91,45
2020-09-13,119,58
2020-09-14,117,60
2020-09-15,78,54
2020-09-16,104,56
2020-09-17,90,54
2020-09-18,110,63
2020-09-19,99,66
2020-09-20,119,77
2020-09-21,112,70
2020-09-22,120,78
2020-09-23,119,89
2020-09-24,128,91
2020-09-25,173,119
2020-09-26,164,106
2020-09-27,136,95
2020-09-28,171,110
2020-09-29,190,110
2020-09-30,145,83
2020-10-01,166,100
2020-10-02,178,105
2020-10-03,165,99
2020-10-04,133,74
2020-10-05,156,71
2020-10-06,183,74
2020-10-07,199,93
2020-10-08,168,77
2020-10-09,190,91
2020-10-10,207,65
2020-10-11,187,68
2020-10-12,257,108
2020-10-13,202,63
2020-10-14,223,82
2020-10-15,214,79
2020-10-16,181,61
2020-10-17,187,83
2020-10-18,191,77
2020-10-19,189,70
2020-10-20,208,59
2020-10-21,156,44
2020-10-22,164,46
2020-10-23,122,37
2020-10-24,135,46
2020-10-25,160,44
2020-10-26,133,49
2020-10-27,126,50
2020-10-28,113,48
2020-10-29,106,35
2020-10-30,113,31
2020-10-31,107,33
2020-11-01,145,63
2020-11-02,156,65
2020-11-03,160,59
2020-11-04,175,62
2020-11-05,179,67
2020-11-06,191,91
2020-11-07,171,66
2020-11-08,209,92
2020-11-09,209,75
2020-11-10,232,79
2020-11-11,224,87
2020-11-12,226,99
2020-11-13,236,101
2020-11-14,223,99
2020-11-15,202,72
2020-11-16,207,96
2020-11-17,200,84
2020-11-18,168,81
2020-11-19,202,98
2020-11-20,211,89
2020-11-21,168,90
2020-11-22,196,84
2020-11-23,197,98
2020-11-24,244,126
2020-11-25,192,94
2020-11-26,226,115
2020-11-27,208,97
2020-11-28,201,97
2020-11-29,190,91
2020-11-30,165,73
2020-12-01,186,81
2020-12-02,157,86
2020-12-03,144,82
2020-12-04,141,85
2020-12-05,131,84
2020-12-06,131,77
2020-12-07,167,93
2020-12-08,176,90
2020-12-09,156,76
2020-12-10,170,90
2020-12-11,173,89
2020-12-12,177,100
2020-12-13,179,92
2020-12-14,175,98
2020-12-15,165,89
2020-12-16,146,77
2020-12-17,144,83
2020-12-18,163,92
2020-12-19,158,100
2020-12-20,169,82
2020-12-21,155,89
2020-12-22,153,84
2020-12-23,189,101
2020-12-24,159,82
2020-12-25,188,100
2020-12-26,188,107
2020-12-27,212,113
2020-12-28,179,99
2020-12-29,211,121
2020-12-30,215,127
2020-12-31,207,117
2021-01-01,256,139
2021-01-02,264,146
2021-01-03,277,135
2021-01-04,258,141
2021-01-05,254,142
2021-01-06,248,135
2021-01-07,254,120
2021-01-08,203,118
2021-01-09,214,115
2021-01-10,212,108
2021-01-11,228,138
2021-01-12,214,113
2021-01-13,213,123
2021-01-14,163,84
2021-01-15,204,115
2021-01-16,164,106
2021-01-17,169,110
2021-01-18,165,97
2021-01-19,167,96
2021-01-20,143,87
2021-01-21,142,84
2021-01-22,145,85
2021-01-23,135,85
2021-01-24,154,81
2021-01-25,135,73
2021-01-26,131,77
2021-01-27,104,75
2021-01-28,146,87
2021-01-29,110,68
2021-01-30,114,74
2021-01-31,131,72
2021-02-01,167,113
2021-02-02,120,74
2021-02-03,130,72
2021-02-04,117,71
2021-02-05,114,66
2021-02-06,99,66
2021-02-07,93,63
2021-02-08,120,73
2021-02-09,101,66
2021-02-10,93,56
2021-02-11,108,58
2021-02-12,93,48
2021-02-13,103,65
2021-02-14,115,81
2021-02-15,125,74
2021-02-16,142,84
2021-02-17,123,70
2021-02-18,129,76
2021-02-19,131,76
2021-02-20,124,68
2021-02-21,150,81
2021-02-22,125,72
2021-02-23,126,74
2021-02-24,129,63
2021-02-25,114,56
2021-02-26,112,56
2021-02-27,106,57
2021-02-28,122,54
2021-03-01,133,64
2021-03-02,136,66
2021-03-03,145,76
2021-03-04,101,32
2021-03-05,123,61
2021-03-06,113,56
2021-03-07,139,66
2021-03-08,140,72
2021-03-09,141,59
2021-03-10,138,71
2021-03-11,134,60
2021-03-12,149,71
2021-03-13,139,54
2021-03-14,134,46
2021-03-15,166,79
2021-03-16,155,68
2021-03-17,165,61
2021-03-18,143,60
2021-03-19,144,61
2021-03-20,142,59
2021-03-21,159,64
2021-03-22,147,56
2021-03-23,140,62
2021-03-24,176,75
2021-03-25,139,58
2021-03-26,169,77
2021-03-27,132,59
2021-03-28,152,68
2021-03-29,139,62
2021-03-30,145,76
2021-03-31,142,80
2021-04-01,195,89
2021-04-02,177,87
2021-04-03,169,84
2021-04-04,231,103
2021-04-05,227,102
2021-04-06,214,97
2021-04-07,239,108
2021-04-08,213,100
2021-04-09,263,120
2021-04-10,228,98
2021-04-11,237,98
2021-04-12,242,114
2021-04-13,230,115
2021-04-14,227,102
2021-04-15,220,111
2021-04-16,213,124
2021-04-17,201,98
2021-04-18,220,115
2021-04-19,211,112
2021-04-20,241,123
2021-04-21,221,100
2021-04-22,219,89
2021-04-23,223,113
2021-04-24,239,121
2021-04-25,233,106
2021-04-26,261,127
2021-04-27,256,140
2021-04-28,247,133
2021-04-29,232,129
2021-04-30,245,150
2021-05-01,285,166
2021-05-02,267,166
2021-05-03,301,166
2021-05-04,281,183
2021-05-05,282,166
2021-05-06,315,181
2021-05-07,311,178
2021-05-08,382,179
2021-05-09,388,207
2021-05-10,470,250
2021-05-11,431,230
2021-05-12,443,240
2021-05-13,490,265
2021-05-14,540,287
2021-05-15,553,290
2021-05-16,613,354
2021-05-17,601,376
2021-05-18,665,419
2021-05-19,647,428
2021-05-20,620,400
2021-05-21,658,484
2021-05-22,558,374
2021-05-23,624,403
2021-05-24,772,483
2021-05-25,707,463
2021-05-26,662,432
2021-05-27,641,419
2021-05-28,690,450
2021-05-29,682,421
2021-05-30,759,455
2021-05-31,733,485
2021-06-01,822,503
2021-06-02,719,422
2021-06-03,682,409
2021-06-04,699,430
2021-06-05,619,346
2021-06-06,668,362
2021-06-07,726,413
2021-06-08,662,404
2021-06-09,619,373
2021-06-10,558,297
2021-06-11,562,318
2021-06-12,523,278
2021-06-13,584,352
2021-06-14,501,275
2021-06-15,554,312
2021-06-16,499,273
2021-06-17,519,285
2021-06-18,546,287
2021-06-19,528,279
2021-06-20,585,268
2021-06-21,582,304
2021-06-22,591,308
2021-06-23,542,261
2021-06-24,529,257
2021-06-25,508,233
2021-06-26,456,247
2021-06-27,539,237
2021-06-28,578,281
2021-06-29,507,216
2021-06-30,533,234
2021-07-01,525,252
2021-07-02,516,240
2021-07-03,598,279
2021-07-04,625,294
2021-07-05,555,239
2021-07-06,560,241
2021-07-07,517,227
2021-07-08,481,180
2021-07-09,496,202
2021-07-10,509,209
2021-07-11,500,184
2021-07-12,430,155
2021-07-13,424,132
2021-07-14,350,119
2021-07-15,360,131
2021-07-16,314,117
2021-07-17,363,110
2021-07-18,423,128
2021-07-19,429,146
2021-07-20,427,149
2021-07-21,435,141
2021-07-22,404,131
2021-07-23,412,146
2021-07-24,363,125
2021-07-25,391,142
2021-07-26,373,129
2021-07-27,355,114
2021-07-28,373,117
2021-07-29,368,117
2021-07-30,355,110
2021-07-31,349,115
2021-08-01,347,117
2021-08-02,346,111
2021-08-03,321,105
2021-08-04,319,105
2021-08-05,237,73
2021-08-06,256,80
2021-08-07,247,89
2021-08-08,268,85
2021-08-09,225,67
2021-08-10,217,66
2021-08-11,204,71
2021-08-12,205,68
2021-08-13,203,67
2021-08-14,195,68
2021-08-15,190,43
2021-08-16,241,65
2021-08-17,192,66
2021-08-18,172,54
2021-08-19,153,44
2021-08-20,142,42
2021-08-21,119,33
2021-08-22,130,29
2021-08-23,114,37
2021-08-24,86,28
2021-08-25,78,26
2021-08-26,82,25
2021-08-27,91,30
2021-08-28,72,23
2021-08-29,81,23
2021-08-30,73,23
2021-08-31,74,20
2021-09-01,56,24
2021-09-02,58,14
2021-09-03,48,14
2021-09-04,53,12
2021-09-05,67,16
2021-09-06,45,11
2021-09-07,37,14
2021-09-08,27,5
2021-09-09,35,11
2021-09-10,40,6
2021-09-11,26,8
2021-09-12,37,7
2021-09-13,31,5
2021-09-14,27,5
2021-09-15,23,5
2021-09-16,18,2
2021-09-17,30,8
2021-09-18,25,4
2021-09-19,12,3
2021-09-20,17,4
2021-09-21,22,4
2021-09-22,20,2
2021-09-23,12,2
2021-09-24,16,6
2021-09-25,16,4
2021-09-26,12,4
2021-09-27,14,6
2021-09-28,14,6
2021-09-29,18,9
2021-09-30,14,7
2021-10-01,7,2
2021-10-02,5,3
2021-10-03,6,2
2021-10-04,6,4
2021-10-05,8,6
2021-10-06,5,3
2021-10-07,8,5
2021-10-08,8,5
2021-10-09,7,4
2021-10-10,6,2
2021-10-11,12,5
2021-10-12,9,4
2021-10-13,7,4
2021-10-14,4,0
2021-10-15,13,4
2021-10-16,3,2
2021-10-17,9,1
2021-10-18,4,1
2021-10-19,6,3
2021-10-20,11,4
2021-10-21,6,4
2021-10-22,3,1
2021-10-23,4,1
2021-10-24,8,4
2021-10-25,6,2
2021-10-26,7,0
2021-10-27,7,4
2021-10-28,7,1
2021-10-29,1,0
2021-10-30,4,1
2021-10-31,5,2
2021-11-01,2,2
2021-11-02,8,7
2021-11-03,0,0
2021-11-04,4,2
2021-11-05,4,3
2021-11-06,3,1
2021-11-07,3,2
2021-11-08,2,1
2021-11-09,6,4
2021-11-10,2,1
2021-11-11,6,1
2021-11-12,6,2
2021-11-13,5,1
2021-11-14,5,2
2021-11-15,2,1
2021-11-16,2,0
2021-11-17,5,0
2021-11-18,3,2
2021-11-19,8,5
2021-11-20,3,0
2021-11-21,5,3
2021-11-22,4,2
2021-11-23,7,4
2021-11-24,13,3
2021-11-25,6,1
2021-11-26,14,7
2021-11-27,9,2
2021-11-28,14,7
2021-11-29,23,8
2021-11-30,16,6
2021-12-01,14,6
2021-12-02,19,14
2021-12-03,26,5
2021-12-04,15,10
2021-12-05,29,17
2021-12-06,20,12
2021-12-07,33,20
2021-12-08,36,21
2021-12-09,45,31
2021-12-10,30,15
2021-12-11,33,18
2021-12-12,50,23
2021-12-13,54,27
2021-12-14,57,34
2021-12-15,75,52
2021-12-16,95,68
2021-12-17,97,67
2021-12-18,91,69
2021-12-19,143,86
2021-12-20,159,116
2021-12-21,224,155
2021-12-22,266,184
2021-12-23,274,193
2021-12-24,255,168
2021-12-25,292,207
2021-12-26,399,266
2021-12-27,456,281
2021-12-28,401,273
2021-12-29,352,228
2021-12-30,277,178
2021-12-31,252,157
2022-01-01,224,151
2022-01-02,206,128
2022-01-03,73,31
2022-01-04,1,0
